Date,"Close Price"
"2015-08-31 19:10:00",1.33
"2015-09-07 19:10:00",1.28
"2015-09-14 19:10:00",0.87
"2015-09-21 19:10:00",0.91
"2015-09-28 19:10:00",0.62
"2015-10-05 19:10:00",0.65
"2015-10-12 19:10:00",0.64
"2015-10-19 19:10:00",0.5
"2015-10-26 19:10:00",0.63
"2015-11-02 19:10:00",1.05
"2015-11-09 19:10:00",1.03
"2015-11-16 19:10:00",0.92
"2015-11-23 19:10:00",0.93
"2015-11-30 19:10:00",0.89
"2015-12-07 19:10:00",0.82
"2015-12-14 19:10:00",0.99
"2015-12-21 19:10:00",0.91
"2015-12-28 19:10:00",0.84
"2016-01-04 19:10:00",0.93
"2016-01-11 19:10:00",1.04
"2016-01-18 19:10:00",1.39
"2016-01-25 19:10:00",2.61
"2016-02-01 19:10:00",2.17
"2016-02-08 19:10:00",3.17
"2016-02-15 19:10:00",5.03
"2016-02-22 19:10:00",5.24
"2016-02-29 19:10:00",6.4
"2016-03-07 19:10:00",9.88
"2016-03-14 19:10:00",13.89
"2016-03-21 19:10:00",11.48
"2016-03-28 19:10:00",11.62
"2016-04-04 19:10:00",11.33
"2016-04-11 19:10:00",8.74
"2016-04-18 19:10:00",9.02
"2016-04-25 19:10:00",7.58
"2016-05-02 19:10:00",9.85
"2016-05-09 19:10:00",9.29
"2016-05-16 19:10:00",11.1
"2016-05-23 19:10:00",13.68
"2016-05-30 19:10:00",12.63
"2016-06-06 19:10:00",13.9
"2016-06-13 19:10:00",17.14
"2016-06-20 19:10:00",11.82
"2016-06-27 19:10:00",13.8
"2016-07-04 19:10:00",11.39
"2016-07-11 19:10:00",10.53
"2016-07-18 19:10:00",11.19
"2016-07-25 19:10:00",13.28
"2016-08-01 19:10:00",11.47
"2016-08-08 19:10:00",11.15
"2016-08-15 19:10:00",11
"2016-08-22 19:10:00",11.27
"2016-08-29 19:10:00",10.87
"2016-09-05 19:10:00",11.69
"2016-09-12 19:10:00",11.88
"2016-09-19 19:10:00",12.83
"2016-09-26 19:10:00",12.9
"2016-10-03 19:10:00",13.36
"2016-10-10 19:10:00",11.85
"2016-10-17 19:10:00",11.75
"2016-10-24 19:10:00",12.02
"2016-10-31 19:10:00",11.01
"2016-11-07 19:10:00",10.9
"2016-11-14 19:10:00",10
"2016-11-21 19:10:00",9.59
"2016-11-28 19:10:00",8.75
"2016-12-05 19:10:00",7.04
"2016-12-12 19:10:00",8.33
"2016-12-19 19:10:00",7.72
"2016-12-26 19:10:00",7.21
"2017-01-02 19:10:00",8.39
"2017-01-09 19:10:00",10.47
"2017-01-16 19:10:00",9.53
"2017-01-23 19:10:00",10.71
"2017-01-30 19:10:00",10.57
"2017-02-06 19:10:00",11.25
"2017-02-13 19:10:00",11.23
"2017-02-20 19:10:00",12.8
"2017-02-27 19:10:00",14.78
"2017-03-06 19:10:00",19.84
"2017-03-13 19:10:00",27.92
"2017-03-20 19:10:00",43.33
"2017-03-27 19:10:00",50.16
"2017-04-03 19:10:00",45.46
"2017-04-10 19:10:00",43.53
"2017-04-17 19:10:00",49.5
"2017-04-24 19:10:00",53.41
"2017-05-01 19:10:00",82.32
"2017-05-08 19:10:00",91.58
"2017-05-15 19:09:25",92.19
"2017-05-22 19:09:27",187.86

"This data was produced from the CoinDesk price page."
http://www.coindesk.com/price/
